index,prediction
16,
18,
19,"[220.0, 240.0] volt"
22,
37,
38,8.0 watt
52,
59,
60,
65,3.70 volt
74,1500.0 watt
75,
81,243.0 pound
87,
88,
91,200.0 pound
97,9.60 volt
101,59.0 millilitre
102,
112,1650.0 watt
115,500.0 watt
123,660.0 pound
126,12.0 volt
134,50.0 pound
147,
161,
165,
166,
178,20.0 pound
183,
184,
197,40.0 pound
205,1700.0 watt
206,
213,5.0 volt
216,2.0 volt
217,
228,37.0 pound
229,
230,
253,50.0 pint
260,135.0 pound
277,6.72 watt
278,
287,
293,965.0 gram
298,
299,
300,
301,
302,
323,
324,
334,
335,120.0 watt
336,40.0 millilitre
339,
340,
354,
363,800.0 pound
368,
372,
377,
378,12.0 volt
384,
385,
388,
390,355.0 millilitre
396,12.0 pound
401,
406,
407,
408,
414,
416,
420,473.0 millilitre
421,
422,505.0 volt
442,220.0 volt
443,
445,
446,
447,20.0 gram
451,
464,
465,
467,
472,
473,52.0 volt
479,132.0 pounds
481,355.0 millilitre
495,
501,5.0 volt
505,
515,75.0 kilogram
519,
540,
548,12.0 volt
559,25.0 kilogram
561,18.0 volt
572,
574,
583,
584,350.0 watt
587,200.0 kilogram
597,
598,
602,250.0 millilitre
607,80.0 watt
608,12.0 volt
615,
616,
621,25.0 watt
642,
644,1000.0 watt
645,110.0 volt
648,150.0 millilitre
650,110.0 volt
652,40.0 watt
669,300.0 pound
670,236.0 millilitre
671,
677,
685,
686,5.0 volt
690,
695,
696,
699,
723,
724,
729,25.20 volt
730,
740,
744,400.0 watt
745,
751,275.0 pound
762,
765,118.6 millilitre
772,1000.0 watt
773,110.0 volt
775,51.0 watt
777,
779,
780,74.50 watt
784,
796,
800,
809,
810,
815,
816,
818,
823,
824,1.60 watt
825,3.2 kilogram
829,400.0 pound
831,
833,
845,
846,
849,1200.0 millilitre
850,
851,
859,
862,300.0 pound
867,
878,488.0 gram
886,
887,
889,12.0 volt
900,
904,118.0 millilitre
913,220.0 volt
914,8.0 watt
920,8.0 watt
921,220.0 volt
925,
933,
934,
935,
940,
941,
943,
947,
968,
969,
971,
972,30.0 pound
976,10.0 pound
980,80.0 millilitre
986,
1000,127.0 volt
1005,
1012,
1013,53.0 watt
1015,200.0 gram
1028,500.0 pound
1033,230.0 volt
1034,17.0 watt
1035,6.0 volt
1037,
1040,
1046,
1048,12.0 watt
1049,
1053,
1054,
1060,
1061,
1064,"[220.0, 240.0] volt"
1066,
1082,
1094,
1104,
1111,
1114,5.0 volt
1127,5.0 watt
1128,
1131,24.0 volt
1132,
1136,200.0 pound
1149,
1156,
1164,
1181,66.0 millilitre
1182,
1183,
1185,
1186,1.0 gallon
1189,50.0 pound
1202,200.0 kilogram
1214,
1236,
1242,60.0 millilitre
1251,
1256,350.0 pound
1260,354.0 millilitre
1264,360.0 pound
1266,
1271,
1273,
1274,
1278,
1279,
1280,120.0 kilogram
1284,250.0 millilitre
1305,750.0 watt
1309,
1324,
1328,
1332,
1348,
1349,220.0 pound
1353,
1354,
1369,15.40 volt
1371,
1372,
1380,3.70 volt
1386,6.0 volt
1393,
1399,
1404,
1406,10.0 pound
1411,
1412,12.0 volt
1414,
1423,850.0 gram
1425,
1427,18.0 watt
1438,1.35 volt
1440,
1441,1600.0 volt
1446,2.0 watt
1447,
1448,
1453,
1465,26.0 volt
1466,2.80 watt
1473,1000.0 pound
1481,18.0 volt
1487,100.0 kilogram
1488,
1489,18.0 volt
1494,
1498,300.0 pound
1511,
1515,12.0 volt
1516,
1522,12.0 volt
1535,2220211000.0 watt
1537,110.0 volt
1542,
1543,500.0 millilitre
1544,
1547,
1548,800.0 pound
1550,
1551,
1553,330.0 pound
1556,
1557,
1562,330.0 pound
1566,
1574,
1578,22.0 pound
1579,
1580,
1583,710112.0 watt
1596,20.0 millilitre
1615,14.0 pound
1618,1500.0 watt
1620,
1622,
1623,
1625,
1626,20.0 volt
1627,
1628,
1634,
1639,
1640,350.0 pound
1654,
1663,2338.0 watt
1665,
1666,66.60 watt
1667,355.0 millilitre
1670,
1674,187.0 pound
1676,
1677,330.0 pound
1679,
1684,
1691,110.0 pound
1692,30.0 kilogram
1696,100.0 kilogram
1698,265.0 pound
1699,
1700,12.0 volt
1717,325.0 millilitre
1721,
1724,2930.0 watt
1726,110.0 volt
1727,150.0 kilogram
1729,250.0 kilogram
1730,
1732,250.0 pound
1738,
1739,18.0 volt
1740,200.0 kilogram
1743,110.0 pound
1745,120.0 volt
1746,750.0 watt
1753,
1754,4350.0 watt
1759,
1760,
1761,
1764,120.0 volt
1766,
1769,265.0 pound
1770,120.0 pound
1772,220.0 volt
1779,20.0 volt
1780,
1792,120.0 pound
1802,265.0 pound
1815,330.0 pound
1819,20.0 volt
1820,
1824,
1825,
1831,
1836,
1846,
1847,
1855,265.0 pound
1858,350.0 pound
1859,50.0 pound
1860,600.0 millilitre
1861,70.0 pound
1867,
1868,
1875,
1876,30.0 pound
1878,
1879,
1881,12.0 volt
1889,
1895,275.0 pound
1896,
1900,800.0 pound
1907,250.0 pound
1914,18.0 volt
1916,50.0 kilogram
1917,300.0 pound
1919,33.0 pound
1927,
1929,0.0 millilitre
1934,120.0 volt
1937,110.0 volt
1938,
1939,150.0 kilogram
1941,
1942,
1945,
1951,
1954,
1958,1400.0 gram
1960,500.0 millilitre
1971,35.0 pound
1985,
1986,
1989,300.0 pound
2004,600.0 watt
2005,120.0 volt
2006,
2010,5.0 volt
2011,5.50 watt
2017,330.0 millilitre
2019,
2021,
2022,
2035,
2036,
2037,
2038,330.0 pound
2040,
2053,
2059,
2061,
2064,
2070,121.5 litre
2071,127212.0 volt
2075,3.80 volt
2078,7.45 volt
2083,
2092,
2093,19.20 volt
2094,
2099,
2101,
2102,
2108,
2109,
2116,55.0 pound
2118,9607.0 watt
2125,
2126,
2130,
2135,
2136,
2139,
2140,115.0 volt
2144,550.0 watt
2146,
2148,
2154,
2159,1000.0 pound
2161,12.0 volt
2162,
2167,
2168,
2177,1300.0 watt
2178,220.0 volt
2186,1200.0 watt
2187,
2189,500.0 millilitre
2190,
2204,
2212,
2219,
2224,120.0 volt
2225,1500.0 watt
2227,
2229,800.0 pound
2234,12.0 volt
2241,
2242,
2244,
2245,
2246,110.0 pound
2256,265.0 pound
2260,25.0 watt
2262,
2263,
2264,
2265,115.0 volt
2268,6.0 volt
2274,30.0 kilogram
2275,110.0 volt
2276,
2277,
2278,
2283,
2287,
2288,
2292,
2295,
2296,
2300,210.0 ton
2302,3.0 millilitre
2306,
2310,
2316,
2324,
2326,12.0 volt
2327,
2334,350.0 pound
2335,830.0 millilitre
2336,265.0 pound
2343,
2347,
2348,10.0 watt
2351,
2352,300.0 watt
2364,12.0 volt
2370,2.0 kilogram
2371,15.6 pound
2378,150.0 kilogram
2383,700.0 watt
2386,35.0 pound
2397,220.0 pound
2404,
2431,1000.0 watt
2432,
2434,12.0 fluid ounce
2435,
2436,
2444,
2445,
2451,
2452,
2461,900.0 watt
2462,220.0 volt
2464,
2470,
2480,3.60 watt
2481,24.0 volt
2483,
2488,
2489,700.0 watt
2492,12.0 volt
2497,
2499,
