,index,prediction
0,16,
0,18,
0,19,"[220.0, 240.0] volt"
1081,22,
1,37,
1,38,8.0 watt
2,52,
3,59,
2,60,
3,65,3.70 volt
4,74,1500.0 watt
4,75,
1,81,243.0 pound
5,87,
5,88,
2,91,200.0 pound
6,97,9.60 volt
1092,101,59.0 millilitre
6,102,
7,112,1650.0 watt
8,115,500.0 watt
3,123,660.0 pound
7,126,12.0 volt
4,134,50.0 pound
1151,147,
1221,161,
8,165,
9,166,
5,178,20.0 pound
10,183,
9,184,
6,197,40.0 pound
11,205,1700.0 watt
10,206,
11,213,5.0 volt
12,216,2.0 volt
12,217,
7,228,37.0 pound
13,229,
13,230,
1208,253,50.0 pint
8,260,135.0 pound
14,277,6.72 watt
14,278,
15,287,
9,293,965.0 gram
15,298,
16,299,
17,300,
18,301,
16,302,
19,323,
17,324,
20,334,
18,335,120.0 watt
1224,336,40.0 millilitre
19,339,
21,340,
1246,354,
10,363,800.0 pound
1242,368,
1240,372,
20,377,
22,378,12.0 volt
23,384,
21,385,
24,388,
1236,390,355.0 millilitre
11,396,12.0 pound
1234,401,
22,406,
25,407,
26,408,
23,414,
27,416,
1230,420,473.0 millilitre
24,421,
28,422,505.0 volt
29,442,220.0 volt
25,443,
26,445,
30,446,
12,447,20.0 gram
13,451,
31,464,
27,465,
1226,467,
28,472,
32,473,52.0 volt
14,479,132.0 pounds
1200,481,355.0 millilitre
1175,495,
33,501,5.0 volt
1172,505,
15,515,75.0 kilogram
34,519,
1174,540,
35,548,12.0 volt
16,559,25.0 kilogram
36,561,18.0 volt
37,572,
1155,574,
38,583,
29,584,350.0 watt
17,587,200.0 kilogram
30,597,
39,598,
1177,602,250.0 millilitre
31,607,80.0 watt
40,608,12.0 volt
32,615,
41,616,
33,621,25.0 watt
42,642,
34,644,1000.0 watt
43,645,110.0 volt
1190,648,150.0 millilitre
44,650,110.0 volt
35,652,40.0 watt
18,669,300.0 pound
1188,670,236.0 millilitre
45,671,
46,677,
1183,685,
47,686,5.0 volt
1182,690,
36,695,
48,696,
1178,699,
37,723,
49,724,
50,729,25.20 volt
38,730,
931,740,
39,744,400.0 watt
51,745,
19,751,275.0 pound
52,762,
926,765,118.6 millilitre
40,772,1000.0 watt
53,773,110.0 volt
41,775,51.0 watt
54,777,
55,779,
42,780,74.50 watt
20,784,
56,796,
57,800,
43,809,
58,810,
918,815,
44,816,
59,818,
60,823,
45,824,1.60 watt
21,825,3.2 kilogram
22,829,400.0 pound
937,831,
23,833,
46,845,
61,846,
954,849,1200.0 millilitre
62,850,
47,851,
951,859,
24,862,300.0 pound
949,867,
25,878,488.0 gram
48,886,
63,887,
64,889,12.0 volt
49,900,
939,904,118.0 millilitre
65,913,220.0 volt
50,914,8.0 watt
51,920,8.0 watt
66,921,220.0 volt
26,925,
67,933,
52,934,
68,935,
69,940,
53,941,
70,943,
27,947,
71,968,
54,969,
28,971,
29,972,30.0 pound
30,976,10.0 pound
879,980,80.0 millilitre
877,986,
72,1000,127.0 volt
873,1005,
73,1012,
55,1013,53.0 watt
31,1015,200.0 gram
32,1028,500.0 pound
74,1033,230.0 volt
56,1034,17.0 watt
75,1035,6.0 volt
866,1037,
875,1040,
76,1046,
57,1048,12.0 watt
77,1049,
889,1053,
78,1054,
58,1060,
79,1061,
80,1064,"[220.0, 240.0] volt"
81,1066,
59,1082,
903,1094,
901,1104,
900,1111,
82,1114,5.0 volt
60,1127,5.0 watt
83,1128,
84,1131,24.0 volt
61,1132,
33,1136,200.0 pound
85,1149,
893,1156,
34,1164,
1007,1181,66.0 millilitre
1029,1182,
35,1183,
86,1185,
1025,1186,1.0 gallon
36,1189,50.0 pound
37,1202,200.0 kilogram
87,1214,
38,1236,
1011,1242,60.0 millilitre
1010,1251,
39,1256,350.0 pound
1053,1260,354.0 millilitre
40,1264,360.0 pound
1051,1266,
62,1271,
88,1273,
1049,1274,
63,1278,
89,1279,
41,1280,120.0 kilogram
1047,1284,250.0 millilitre
64,1305,750.0 watt
90,1309,
1044,1324,
1042,1328,
42,1332,
91,1348,
43,1349,220.0 pound
92,1353,
65,1354,
93,1369,15.40 volt
66,1371,
94,1372,
95,1380,3.70 volt
96,1386,6.0 volt
980,1393,
976,1399,
97,1404,
44,1406,10.0 pound
67,1411,
98,1412,12.0 volt
68,1414,
45,1423,850.0 gram
99,1425,
69,1427,18.0 watt
100,1438,1.35 volt
70,1440,
101,1441,1600.0 volt
71,1446,2.0 watt
102,1447,
