index,prediction
77899,
77900,45.7 centimetre
77903,2400.0 centimetre
77905,60.0 centimetre
77906,975.4 centimetre
77873,47000.0 centimetre
77910,5.1 centimetre
77913,17.5 centimetre
77916,29.5 centimetre
77918,3.5 centimetre
77919,39.0 centimetre
77921,13.7 centimetre
77924,70.0 centimetre
77925,14.7 centimetre
77927,47.0 centimetre
77929,8000.0 centimetre
77935,22.0 centimetre
77937,48.9 centimetre
77911,10200.0 centimetre
77623,130.0 centimetre
77871,55.2 centimetre
77865,8200.0 centimetre
77785,700.0 centimetre
77789,13.0 centimetre
77794,30.5 centimetre
77795,47.5 centimetre
77797,12.7 centimetre
77800,76.5 centimetre
77803,32.5 centimetre
77807,22.6 centimetre
77811,2200.0 centimetre
77814,9.9 centimetre
77822,22.0 centimetre
77869,21.6 centimetre
77823,13.0 centimetre
77832,35.1 centimetre
77834,81.2 centimetre
77837,4.6 centimetre
77839,6.9 centimetre
77843,8.9 centimetre
77844,10.0 centimetre
77847,20.3 centimetre
77856,
77858,10.0 centimetre
77859,4.6 centimetre
77862,12.7 centimetre
77826,50000.0 centimetre
76558,18.0 centimetre
77622,
77615,41.0 centimetre
77367,265.4 centimetre
77369,20.0 centimetre
77371,52.8 centimetre
77372,18.8 centimetre
77376,81.3 centimetre
77377,19.8 centimetre
77386,4000.0 centimetre
77389,31.0 centimetre
77394,17.0 centimetre
77402,8400.0 centimetre
77403,9.3 centimetre
77408,35.0 centimetre
77409,20.8 centimetre
77411,22.9 centimetre
77412,6.1 centimetre
77414,1570.0 centimetre
77415,7.6 centimetre
77420,
77424,42.0 centimetre
77426,10.0 centimetre
77428,30.0 centimetre
77438,19.0 centimetre
77446,96.0 centimetre
77363,600.0 centimetre
77362,16000.0 centimetre
77358,3500.0 centimetre
77357,15.5 centimetre
77297,240.0 centimetre
77298,32.0 centimetre
77304,35.6 centimetre
77305,50.0 centimetre
77310,18.0 centimetre
77312,160.0 centimetre
77314,12.0 centimetre
77318,5.5 centimetre
77319,100.0 centimetre
77320,15.0 centimetre
77322,3.3 centimetre
77450,17.8 centimetre
77324,36.8 centimetre
77327,30.5 centimetre
77328,9.0 centimetre
77332,13.0 centimetre
77334,39800.0 centimetre
77335,25.4 centimetre
77337,48.0 centimetre
77339,17.8 centimetre
77342,10.0 centimetre
77344,48.3 centimetre
77347,44.0 centimetre
77352,18.0 centimetre
77325,72.0 centimetre
77453,19.1 centimetre
77457,17.0 centimetre
77458,5.1 centimetre
77547,27.4 centimetre
77553,78.7 centimetre
77556,5.0 centimetre
77558,6.0 centimetre
77563,49.5 centimetre
77564,17.6 centimetre
77566,61.0 centimetre
77571,14.0 centimetre
77573,65.0 centimetre
77575,7.8 centimetre
77580,40.0 centimetre
77545,15.0 centimetre
77587,10700.0 centimetre
77591,25.0 centimetre
77592,
77596,83.9 centimetre
77600,15.2 centimetre
77602,23.8 centimetre
77605,17.0 centimetre
77607,17.8 centimetre
77609,39.9 centimetre
77610,9.0 centimetre
77611,2.5 centimetre
77613,32.7 centimetre
77590,25.4 centimetre
77618,78.7 centimetre
77543,54.0 centimetre
77540,7.1 centimetre
77461,140.0 centimetre
77464,
77467,
77470,24000.0 centimetre
77473,5.0 centimetre
77475,45.7 centimetre
77477,80.0 centimetre
77479,
77488,14.0 centimetre
77493,37.5 centimetre
77495,154.9 centimetre
77542,15.0 centimetre
77497,53.3 centimetre
77509,14.2 centimetre
77511,90.0 centimetre
77512,22.9 centimetre
77514,20.0 centimetre
77518,
77522,26100.0 centimetre
77525,
77527,100.0 centimetre
77530,67.0 centimetre
77531,44.5 centimetre
77536,30.5 centimetre
77507,14.0 centimetre
72201,29.0 centimetre
76556,13.0 centimetre
76554,593.0 centimetre
75561,17.0 centimetre
75563,30.5 centimetre
75564,12000.0 centimetre
75565,10200.0 centimetre
75567,30.0 centimetre
75569,26.7 centimetre
75571,15.0 centimetre
75573,4.1 centimetre
75576,27.0 centimetre
75583,79.0 centimetre
75585,13.8 centimetre
75590,17.0 centimetre
75593,10.7 centimetre
75601,19.2 centimetre
75606,2000.0 centimetre
75608,8.9 centimetre
75609,49.0 centimetre
75621,47.0 centimetre
75627,20500.0 centimetre
75628,2300.0 centimetre
75629,19.6 centimetre
75632,104.0 centimetre
75635,152.0 centimetre
75555,50.0 centimetre
75551,8.0 centimetre
75549,50.0 centimetre
75546,12000.0 centimetre
75457,19.0 centimetre
75461,31.5 centimetre
75465,15.2 centimetre
75467,5000.0 centimetre
75470,107.0 centimetre
75477,9.5 centimetre
75478,50.0 centimetre
75481,13.7 centimetre
75484,18.0 centimetre
75485,40.1 centimetre
75490,17000.0 centimetre
75637,43.9 centimetre
75493,45.7 centimetre
75498,14000.0 centimetre
75502,30.5 centimetre
75505,10.0 centimetre
75508,31.5 centimetre
75515,8200.0 centimetre
75516,12.5 centimetre
75523,39.9 centimetre
75529,1.8 centimetre
75534,220.0 centimetre
75539,3.8 centimetre
75542,68.6 centimetre
75495,10.0 centimetre
75449,15.2 centimetre
75642,10000.0 centimetre
75650,8700.0 centimetre
75724,160.0 centimetre
75725,14900.0 centimetre
75726,12.1 centimetre
75734,50.8 centimetre
75739,13.2 centimetre
75741,
75745,19.0 centimetre
75747,14300.0 centimetre
75749,250.0 centimetre
75752,7.2 centimetre
75757,18.0 centimetre
75764,24.9 centimetre
75766,39.9 centimetre
75769,10.0 centimetre
75771,13.5 centimetre
75773,25000.0 centimetre
75777,50.0 centimetre
75783,15.5 centimetre
75784,47.0 centimetre
75786,30.0 centimetre
75787,12.7 centimetre
75790,21.0 centimetre
75794,4.1 centimetre
75721,16.0 centimetre
75720,4.4 centimetre
75718,2.7 centimetre
75716,35.0 centimetre
75655,14000.0 centimetre
75656,26.4 centimetre
75660,8.0 centimetre
75663,4.0 centimetre
75664,8.0 centimetre
75666,150.0 centimetre
75670,13.5 centimetre
75672,7.0 centimetre
75673,46.0 centimetre
75674,168.0 centimetre
75684,160.0 centimetre
75643,38.0 centimetre
75689,106.7 centimetre
75693,18.0 centimetre
75694,21.5 centimetre
75696,20.0 centimetre
75700,68.0 centimetre
75702,15.2 centimetre
75704,48.0 centimetre
75705,19.0 centimetre
75707,4.5 centimetre
75709,25.7 centimetre
75711,4.6 centimetre
75715,30.5 centimetre
75691,90.0 centimetre
75439,13.2 centimetre
75435,182.0 centimetre
75434,11.5 centimetre
75168,90.0 centimetre
75177,26.9 centimetre
75178,150.0 centimetre
75181,40.0 centimetre
75182,31.0 centimetre
75184,6.0 centimetre
75187,26.0 centimetre
75191,6.5 centimetre
75193,15000.0 centimetre
75201,
75202,6.0 centimetre
75207,40.6 centimetre
75209,151.9 centimetre
75212,3.8 centimetre
75215,14.0 centimetre
75216,2.4 centimetre
75221,
75223,15.0 centimetre
75226,10.0 centimetre
75229,59.9 centimetre
75230,2.6 centimetre
75232,23.0 centimetre
75234,84.0 centimetre
